year	population	male	female
2023	1982097	969125	1012972
2024	2002381	978770	1023612
2025	2021816	987981	1033835
2026	2039838	996448	1043390
2027	2056147	1004010	1052137
2028	2070570	1010575	1059995
2029	2083924	1016585	1067338
2030	2096609	1022256	1074352
2031	2108823	1027703	1081120
2032	2120668	1032982	1087686
2033	2132201	1038148	1094053
2034	2143358	1043180	1100177
2035	2154164	1048085	1106079
2036	2164638	1052871	1111767
2037	2174798	1057540	1117258
2038	2184653	1062095	1122558
2039	2194209	1066531	1127677
2040	2203465	1070788	1132677
2041	2212418	1074916	1137502
2042	2221058	1078896	1142163
2043	2229376	1082716	1146659
2044	2237355	1086370	1150985
2045	2244984	1089846	1155137
2046	2252248	1093139	1159110
2047	2259136	1096249	1162887
2048	2265637	1099173	1166464
2049	2271743	1101910	1169832
2050	2277452	1104456	1172996
2051	2282763	1106816	1175948
2052	2287680	1108993	1178688
2053	2292210	1110992	1181219